customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,index,mean,median,max,min,routine_flg,calc_date,membership_period
OA832399,XXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,3036,4.833333333333333,5.0,8,2,1,2019-04-30,47
PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3256,5.083333333333333,5.0,7,3,1,2019-04-30,47
OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3111,4.583333333333333,5.0,6,3,1,2019-04-30,47
HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1006,4.833333333333333,4.5,7,2,1,2019-04-30,47
HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1331,3.9166666666666665,4.0,6,1,1,2019-04-30,47
IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,2204,3.75,3.5,5,2,1,2019-04-30,47
HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1705,3.9166666666666665,3.5,7,2,1,2019-04-30,47
AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,335,4.5,4.0,9,2,1,2019-04-30,47
AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,32,4.083333333333333,3.5,7,2,1,2019-04-30,47
GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,541,4.666666666666667,4.5,7,3,1,2019-04-30,47
OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,3006,4.75,5.0,7,1,1,2019-04-30,47
AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,25,4.5,5.0,6,3,1,2019-04-30,47
AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,441,4.5,5.0,8,2,1,2019-04-30,47
AS625883,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,324,4.75,5.0,6,2,1,2019-04-30,47
HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1412,4.833333333333333,5.0,7,2,1,2019-04-30,47
HI804186,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1966,4.833333333333333,5.0,7,2,1,2019-04-30,47
AS732240,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,383,4.666666666666667,5.0,7,2,1,2019-04-30,47
PL834411,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,3552,4.916666666666667,4.5,8,1,1,2019-04-30,47
HD516059,XXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1264,4.166666666666667,4.0,7,1,1,2019-04-30,47
HD194702,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1093,4.916666666666667,5.0,8,1,1,2019-04-30,47
IK102369,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,2133,4.75,5.0,6,3,1,2019-04-30,47
AS183155,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,87,4.5,4.5,7,2,1,2019-04-30,47
HI339146,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1714,4.5,4.5,7,2,1,2019-04-30,47
AS476267,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,244,4.916666666666667,5.0,7,3,1,2019-04-30,47
PL928545,XXXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,3614,4.333333333333333,4.0,7,2,1,2019-04-30,47
OA372777,XXXXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,2779,3.6666666666666665,4.0,6,1,1,2019-04-30,47
PL765022,XXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3518,4.583333333333333,4.5,7,3,1,2019-04-30,47
OA803393,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3019,4.75,4.5,8,2,1,2019-04-30,47
OA071756,XXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,2619,4.166666666666667,4.0,6,2,1,2019-04-30,47
HI598974,XXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1860,5.083333333333333,5.0,7,3,1,2019-04-30,47
GD214739,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,629,5.416666666666667,5.0,8,3,1,2019-04-30,47
