年月,customer_id,count_0,count_1,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,min,routine_flg,calc_date,membership_period,exit_date,period,now_date
201806,AS015233,7,7.0,XXXXX,C01,M,2018-05-13,,CA2,0.0,オールタイム,10500.0,入会費半額,7.545454545454546,7.0,11.0,4.0,1.0,2019-04-30,11.0,,0,2018-06-01
201812,AS046594,7,5.0,XXX,C01,M,2018-03-01,,CA1,0.0,オールタイム,10500.0,通常,7.166666666666667,7.0,10.0,5.0,1.0,2019-04-30,13.0,,9,2018-12-01
201808,OA769163,6,4.0,XXX,C01,M,2017-05-01,,CA1,0.0,オールタイム,10500.0,通常,6.083333333333333,6.0,8.0,2.0,1.0,2019-04-30,23.0,,15,2018-08-01
201805,AS981537,10,6.0,XX,C03,M,2018-02-01,,CA1,0.0,ナイト,6000.0,通常,6.916666666666667,7.0,10.0,5.0,1.0,2019-04-30,14.0,,3,2018-05-01
201805,GD065188,6,7.0,XX,C01,M,2017-09-01,,CA1,0.0,オールタイム,10500.0,通常,6.333333333333333,6.5,9.0,3.0,1.0,2019-04-30,19.0,,8,2018-05-01
201903,PL136393,5,2.0,XX,C01,M,2016-05-01,,CA1,0.0,オールタイム,10500.0,通常,4.5,5.0,7.0,2.0,1.0,2019-04-30,35.0,,34,2019-03-01
201902,OA398636,5,4.0,XXXXX,C03,M,2017-01-01,,CA1,0.0,ナイト,6000.0,通常,5.333333333333333,5.0,9.0,2.0,1.0,2019-04-30,27.0,,25,2019-02-01
201806,TS602767,5,5.0,XXXXX,C02,F,2017-04-01,,CA1,0.0,デイタイム,7500.0,通常,5.75,5.5,8.0,1.0,1.0,2019-04-30,24.0,,14,2018-06-01
201809,HI516704,6,5.0,XXXX,C02,F,2017-05-01,,CA1,0.0,デイタイム,7500.0,通常,6.333333333333333,6.0,10.0,4.0,1.0,2019-04-30,23.0,,16,2018-09-01
201901,IK429683,11,9.0,XX,C02,M,2018-09-12,,CA1,0.0,デイタイム,7500.0,通常,8.571428571428571,9.0,11.0,6.0,1.0,2019-04-30,7.0,,3,2019-01-01
201810,OA736727,7,8.0,XXXX,C01,M,2018-09-09,,CA1,0.0,オールタイム,10500.0,通常,8.285714285714286,9.0,9.0,7.0,1.0,2019-04-30,7.0,,0,2018-10-01
201901,PL020585,3,6.0,XXXXX,C01,F,2015-12-01,,CA1,0.0,オールタイム,10500.0,通常,4.666666666666667,4.5,7.0,3.0,1.0,2019-04-30,40.0,,37,2019-01-01
201810,OA963991,5,3.0,XXXX,C01,F,2015-11-01,,CA1,0.0,オールタイム,10500.0,通常,3.5,3.5,6.0,1.0,1.0,2019-04-30,41.0,,35,2018-10-01
201809,HI098767,3,2.0,XXXX,C03,F,2015-12-01,,CA1,0.0,ナイト,6000.0,通常,4.166666666666667,4.0,6.0,2.0,1.0,2019-04-30,40.0,,33,2018-09-01
201808,PL191813,6,9.0,XXXXX,C03,M,2017-08-01,,CA2,0.0,ナイト,6000.0,入会費半額,5.5,5.5,9.0,2.0,1.0,2019-04-30,20.0,,12,2018-08-01
201810,OA953933,6,8.0,XXXXX,C01,M,2017-03-01,,CA1,0.0,オールタイム,10500.0,通常,5.583333333333333,6.0,8.0,3.0,1.0,2019-04-30,25.0,,19,2018-10-01
201806,TS875601,7,10.0,XXXX,C03,M,2017-09-01,,CA1,0.0,ナイト,6000.0,通常,6.166666666666667,6.0,10.0,3.0,1.0,2019-04-30,19.0,,9,2018-06-01
201901,GD812702,5,1.0,XXXXX,C01,F,2015-07-01,,CA1,0.0,オールタイム,10500.0,通常,4.416666666666667,5.0,7.0,1.0,1.0,2019-04-30,45.0,,42,2019-01-01
201812,IK013644,7,6.0,XXXX,C01,F,2018-02-01,,CA1,0.0,オールタイム,10500.0,通常,7.25,7.0,10.0,6.0,1.0,2019-04-30,14.0,,10,2018-12-01
